year,adj_NNI_g,adj_NNI_c,adj_savings_fix_cap_GNI,adj_savings_edu_GNI,adj_NNS_GNI,curr_acc_bal,ex_imp_gdp,ex_imp_growth,ex_debt_shocks,final_consump_exp_gdp,final_consump_exp_growth,fdi_net_inflows,fdi_net_outflows,gdp_growth,gdp_per_capita_growth,gener_govt_fin_consump_exp,gni_growth,goods_exp_bop,goods_imp_bop,imports_goods_services_gdp,imports_goods_services_growth,services_gdp,services_growth,short_term_debt_tot_reserves,trade_gdp,cpi,inflation,real_interest_rate,lending_interest_rate,life_exp_birth,expense_gdp,interest_payments,military expenditure,year,labels
1979,11.978543687173897,247682993937.6744,8.0551676281655,2.6,6.41818277611257,-0.9580691937519155,6.139551132161833,5.237329689731027,11.096106545275438,87.49802066029157,8.473115380705494,0.04248482666874017,0.0021467825529262116,6.735821528819798,4.349374092568098,9.651880608834611,6.858320853519601,8303140035.18869,13946695584.5789,9.245025716344255,14.354198054443273,33.80725873570828,3.450051112964573,10.583033850097504,15.384576848506088,9.7374092846992,11.3460734795094,4.476508260900934,16.5,53.611,11.7024781243222,13.780033013388762,3.13378132972583,1979,High Growth
1980,-2.5726893581955608,241310879910.5797,8.39334571445752,2.6,7.37302745564558,-1.3945491324761459,5.936026626578064,-0.8169340532932949,11.615484312923314,85.768606015963,4.332288873427871,0.0475059939140129,0.0010336378136208203,6.006203626014965,3.6208627302913357,9.626165892668794,5.781550093221128,8437352246.94923,14148500783.5992,8.571238135042371,10.029420415257945,33.87161863576137,5.676643016533006,19.694560693013244,14.507264761620434,11.0142316437707,13.112546897642,5.11823674143201,16.5,54.175,11.376033867530406,14.073244027912187,3.18624812218328,1980,High Growth
1981,1.6262643534584953,245235232731.58252,8.8193483576557,3.0510585,7.0431579273443,-1.2572731881592465,5.983299848639781,6.020508022429169,13.467614263715003,85.31944070587886,2.0052834808940645,0.0359115025627112,0.0004982172948464612,3.4757332396996077,1.1625921739020413,10.172572781265947,3.1406131997512574,9226332695.77027,14046301494.9073,8.142627900907689,3.4541701195267933,34.89683727774281,7.495287593745047,29.08429359998118,14.12592774954747,11.8833363334912,7.8907427937749,7.774707244395978,16.5,54.732,11.95987281861206,15.563031161473088,3.34511766555139,1981,Moderate Growth
1982,11.562098928520356,273589572947.59525,8.41929253944746,3.1534367,7.02477361953872,-0.8874381544176415,5.8376294242785605,-0.9149182733915922,14.101650567624313,85.63585065115086,7.349639308786337,0.0025840484844986238,0.0022908231651729495,7.288892903057032,4.892732989224129,10.091120987434039,7.183680427028193,9769874984.70398,13867570752.9429,7.852964462601688,21.984177098884203,34.52160063054068,6.412670072780216,40.629366170892446,13.690593886880247,13.2936603505448,11.8680812986734,7.320986685084805,16.5,55.281,12.0777926988042,17.460566585576395,3.3230686597073995,1982,Very High Growth
1983,1.851968497653317,278656365651.449,8.78435727903678,2.7,7.09791198020493,-1.0893172709527574,6.283401392886125,7.297851953878265,15.530868362921229,84.96052579309985,3.4375955010058874,0.009068728314085712,0.0018853905116882487,3.8207378561060352,1.4979079489541505,10.355910894241669,3.684958308524358,10191575182.5532,14216303266.8581,7.725974551242791,-14.330061899575668,35.420816084961814,6.576133788824691,43.01808672826807,14.009375944128916,14.3995476077688,8.3189071186007,7.9470999203981805,16.5,55.816,13.142959684917999,19.01138123779379,3.41687559436328,1983,Moderate Growth
1984,2.568824211201175,285814557838.3567,9.35395315904314,2.9,7.55430014182266,-1.7808074261756075,5.254554996287083,-6.314910873289378,16.829824229419184,83.90910831043476,4.979951090982041,0.04562783865953402,0.0012902584218927521,5.254299223113819,2.9142065932040992,10.930192633818283,5.324642595913858,9465033878.33395,15081203788.1064,7.645481197861629,13.870909228469714,36.114999772048925,7.831989524288389,45.90701282739168,12.900036194148711,15.1996475603979,5.55642423236555,8.681673584786642,16.5,56.334,14.378945124947723,19.624124664397023,3.5690302776082996,1984,High Growth
1985,4.529743670068015,298761224680.17255,9.39631163172852,3.0,6.45496606383599,-1.834520559500747,5.196221660359887,5.432381019686417,18.139780186624886,84.70937628432237,3.9887780873972787,0.04728378415536124,-0.0004016290168636816,4.776564168475161,2.4605052876367495,11.550257107954673,4.720214537823054,10248046787.9495,15686464960.8299,7.023050239012678,17.083968938283277,36.988467835644606,8.050210692534463,47.1941945098128,12.219271899372565,16.5265343439129,8.72972072702588,9.093224145088236,16.5,56.835,15.338638236133374,20.586554941915825,4.10646868066223,1985,Moderate Growth
1986,6.629877334505082,318568727399.53314,9.73068272093591,2.9,7.37651889133846,-1.8532424371168472,5.604580884003965,12.727278509433873,19.285986256847593,83.37861619736185,4.096223937572759,0.07609119905431386,0.0017918989989203053,3.965355634817186,1.6919620913400877,11.929013421564974,3.7936745325469303,11884034801.0492,17660894318.0344,6.9802331516718175,-1.6682194328059978,37.45227949228939,6.8808791000156475,49.28012363816345,12.584814035675782,17.9810554239697,8.80112581251833,6.560180094154518,16.5,57.315,15.767218920059673,22.398961887021496,4.2313175270108,1986,Moderate Growth
1987,8.303367542602984,345020659711.3094,9.65219937006426,2.7,8.72701700024291,-2.4084561995118445,6.035219754911279,7.473063360549887,20.201659631627553,81.72388691720526,6.130801201274295,0.03076641125878454,0.0037088276585932048,9.627782916078445,7.259166022955469,11.60436023400032,9.302280905607319,13509794583.1496,20091207198.3753,7.455230361390422,9.194473407232877,36.79644550543219,7.362890914408112,69.21523108477923,13.4904501163017,19.6683027001421,9.38347186185332,7.638632995945092,16.5,57.777,15.519502503319298,23.934796642995483,3.72867178276269,1987,Very High Growth
1988,6.679084763474435,368064882024.9264,9.73538135337977,3.3,10.618226226825,-2.3012842825871833,7.016130277943114,11.97913339722976,25.194921651932244,79.7351528287398,5.017708845078175,0.08515681888743033,0.00337789841020267,5.947343331813244,3.6738625586501428,11.563762299524132,5.820720611340889,16143880745.9945,22254274860.5929,8.152001812726414,2.0843708268927656,37.22939797954959,8.746023121194682,93.19800066339432,15.168132090669529,21.0596935101847,7.07428002942298,7.43584324824212,16.5,58.233,15.971533642043118,24.459015422870845,3.53417972767288,1988,High Growth
1989,7.798858432171627,396769741112.5899,9.72401304680426,3.5,11.7558256730696,-2.1919358690613446,7.053350234144568,11.10441821173525,26.350386011968563,78.36062548650727,4.310881437175922,0.0737400205365026,0.0018692810140648766,5.533454561253009,3.2978540660614044,11.285491902993062,5.3506741660389,18286186694.1932,23437059205.4119,8.452911276051978,3.3658227562105765,37.04478519464807,5.549611764969242,151.55798296930536,15.506261510196545,22.9490075793463,8.97123250273256,5.269526998274231,16.5,58.652,15.484217078555437,27.63914483255511,3.14621461029962,1989,High Growth
1990,-0.9087235315208346,393164201109.1455,10.4479070574073,3.4,11.6478940019912,-1.5889113122369107,8.494240770535466,9.662286331283767,31.89992605646563,78.09680014808875,1.8221871523682864,0.027225540182546325,-0.004072485173180503,1.0568314333698794,-1.0451054689606991,11.078726246478288,0.8649368573504717,18094877655.5263,21086827022.4649,8.493485780599592,0.015200481434263224,37.78569002371795,5.427778725373628,92.83103501812815,16.987726551135058,26.1320914258645,13.8702461773683,3.6247165941194623,17.875,59.055,15.338979529172589,28.92360829402288,2.90997432764267,1990,Low Growth
1991,4.070958944842289,409169754322.11597,10.3943827704853,3.3,13.1968978263457,-1.5562449998756989,8.842926925020878,4.893244254076933,30.928698572678194,76.65938513834759,2.702118396094818,0.09594194992422739,0.008327317232910664,5.482396021670468,3.316865934970295,10.915046479567776,5.497739531625086,20019380807.3115,22930537818.4389,9.590172116807167,21.128079319021992,37.91256818206074,5.875502660443715,66.46548086175245,18.433099041828044,29.2124945523449,11.7878170418135,9.132749407187317,18.9166666666667,59.452,15.116475956062104,29.499857856475654,2.70483970561409,1991,High Growth
1992,9.660762833159424,448698673872.19666,10.1016743287826,3.2,14.3576258413992,-0.6716188802375967,9.834217454863262,13.779593760880516,33.15743293427592,76.45422202018175,4.573080732488833,0.1970564295248394,0.00012554458643864008,4.750776219652337,2.627465862513702,11.002665035395697,4.842291691930399,22015873054.1079,24108390143.2923,9.817322331605114,19.267264800258104,38.49068491702259,7.749140671923541,24.709316139865738,19.651539786468376,31.0607370914259,6.32689048779867,5.8147765140325856,16.25,59.815,15.145108126071822,33.97427057270632,2.82354224568723,1992,Moderate Growth
